Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
S004_SZ20191229042PES_sort_dedup_realigned_recal	S004_SZ20191229042PES_sort_dedup_realigned_recal.bam	204354870.0	204246055.0	13566786629.0	13565235274.0	80853.0224	140.0	57.145	0.0038	224.404	99.94675194185487
S004_SZ20200107046PES_sort_dedup_realigned_recal	S004_SZ20200107046PES_sort_dedup_realigned_recal.bam	74026550.0	74004637.0	5170378104.0	5169803422.0	41670.2761	162.0	57.2676	0.0038	85.5216	99.97039845839095
S005_BJ20190416166PTS_sort_dedup_realigned_recal	S005_BJ20190416166PTS_sort_dedup_realigned_recal.bam	220783296.0	220712360.0	16878154387.0	16876604870.0	10023.0067	167.0	57.2715	0.0032	279.1764	99.96787075775877
S005_SZ20191229043PES_sort_dedup_realigned_recal	S005_SZ20191229043PES_sort_dedup_realigned_recal.bam	186672842.0	186562705.0	12253432941.0	12251995749.0	126961.6466	148.0	57.144	0.0036	202.6803	99.94099998756113
S005_SZ20191229068PTS_sort_dedup_realigned_recal	S005_SZ20191229068PTS_sort_dedup_realigned_recal.bam	95528346.0	95499434.0	6793456092.0	6792704748.0	61514.6497	180.0	57.2793	0.0036	112.3685	99.96973463771685
S006_BJ20190416131PES_sort_dedup_realigned_recal	S006_BJ20190416131PES_sort_dedup_realigned_recal.bam	366974414.0	366780935.0	27154401483.0	27151061866.0	16152.1218	155.0	57.1581	0.0054	449.1526	99.94727725077858
S006_BJ20190416150PTS_sort_dedup_realigned_recal	S006_BJ20190416150PTS_sort_dedup_realigned_recal.bam	204955520.0	204909892.0	15341844563.0	15340172599.0	4405.02	135.0	57.1684	0.0032	253.7647	99.97773760862844
S006_BJ20190416167PES_sort_dedup_realigned_recal	S006_BJ20190416167PES_sort_dedup_realigned_recal.bam	250427122.0	250327119.0	19657485421.0	19655623252.0	19201.9189	169.0	57.2349	0.0036	325.1484	99.96006702500858
S006_SZ20191229045PES_sort_dedup_realigned_recal	S006_SZ20191229045PES_sort_dedup_realigned_recal.bam	174728834.0	174610811.0	10989094044.0	10987818928.0	74192.8166	129.0	57.0536	0.0039	181.7672	99.93245362124948
S006_SZ20191229069PTS_sort_dedup_realigned_recal	S006_SZ20191229069PTS_sort_dedup_realigned_recal.bam	78925730.0	78902400.0	5502681640.0	5502090258.0	90187.7615	205.0	57.3182	0.0038	91.0182	99.97044056481961
S007_BJ20190416101PES_sort_dedup_realigned_recal	S007_BJ20190416101PES_sort_dedup_realigned_recal.bam	231460622.0	231376770.0	17160734147.0	17159072105.0	9379.1539	139.0	57.2205	0.0037	283.8504	99.9637726714482
S007_BJ20190416132PTS_sort_dedup_realigned_recal	S007_BJ20190416132PTS_sort_dedup_realigned_recal.bam	294840014.0	294677574.0	20905903393.0	20903867225.0	8949.3074	148.0	57.1603	0.0052	345.7981	99.94490571418844
S007_SZ20191229051PES_sort_dedup_realigned_recal	S007_SZ20191229051PES_sort_dedup_realigned_recal.bam	213426112.0	213293513.0	12698473509.0	12697078639.0	35347.5243	150.0	57.1773	0.0037	210.0415	99.93787123854835
S008_BJ20190416102PTS_sort_dedup_realigned_recal	S008_BJ20190416102PTS_sort_dedup_realigned_recal.bam	190953078.0	190884584.0	13694436777.0	13693156214.0	14490.2674	147.0	57.2482	0.0033	226.5155	99.96413045512679
