Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
S027_BJ20190416095PES-e_ffpedna_wesplus_24386_S13_L002_R1_001	34.2237	0.954458	20773457991.0	179473362.0	0.490918	99.1220623992595	65.09376610178661
S027_BJ20190424015PTS-9_atdna_wesplus_25394_S5_L002_R1_001	34.8557	0.953986	34990609280.0	276659604.0	0.504792	99.1813607663457	51.37007024893984
S028_BJ20190416077PES-7_ffpedna_wesplus_24527_S12_L002_R1_001	41.9817	0.95668	43847716598.0	336761856.0	0.498854	99.24785944713258	41.69207012971414
S028_BJ20190416096PTS-f_atdna_wesplus_24387_S14_L002_R1_001	32.571099999999994	0.956744	24509759015.0	204969498.0	0.485018	99.26204587611753	63.5721559695557
S028_BJ20190424016PES-f_ffpedna_wesplus_25395_S6_L002_R1_001	35.7238	0.957607	35723835002.0	277899768.0	0.512806	99.11039519195705	47.855760680443254
S029_BJ20190416078PTS-e_atdna_wesplus_24528_S13_L002_R1_001	35.0377	0.954995	28517906141.0	215297200.0	0.474859	99.25726477886822	36.497730510522665
S029_BJ20190416098PTS-2_atdna_wesplus_24388_S15_L002_R1_001	36.918099999999995	0.953482	31459806334.0	241488572.0	0.494186	99.15662946733354	41.651167320921985
S029_BJ20190424017PES-2_ffpedna_wesplus_25396_S7_L002_R1_001	36.1182	0.955391	36489018643.0	281656116.0	0.51474	99.05427013035357	42.65108571145696
S030_BJ20190416081PES-1_ffpedna_wesplus_24529_S14_L002_R1_001	38.0021	0.953489	35861731460.0	270004484.0	0.502376	99.14293603624313	34.61261238766741
S030_BJ20190416099PES-c_ffpedna_wesplus_24389_S16_L002_R1_001	34.866200000000006	0.95417	26891190772.0	202356106.0	0.469937	99.3408834315786	34.99744264468076
S030_BJ20190424020PTS-4_atdna_wesplus_25397_S8_L002_R1_001	32.4504	0.957377	25272834509.0	198704572.0	0.472757	99.29804642809958	50.211175149797924
S031_BJ20190416082PTS-f_atdna_wesplus_24530_S15_L002_R1_001	39.419	0.950713	34309477182.0	257718364.0	0.49358	99.15279607504482	34.14958393803765
S031_BJ20190424027DNA-7_gdna_wesplus_25398_S9_L002_R1_001	24.0231	0.955453	12164686329.0	88017278.0	0.473857	99.27666109698576	21.259643454700043
S032_BJ20190416085PES-1_ffpedna_wesplus_24531_S16_L002_R1_001	38.317499999999995	0.949775	36113901573.0	274408550.0	0.497795	99.14886100983335	36.07101233520096
